Player,Price,Apps,Mins,S,OT,IN,BC,XG,G,KP,BCC,XA,A,XPTS,BPS,B,DC,PTS
MIDS.MagassaWHU,£5.0m,11,495,4,1,0,0,0.14,0,5,1,0.27,0,26.34,97,0,4,20
MIDUgarteMUN,£4.7m,12,379,4,1,2,0,0.28,0,2,0,0.11,0,29,86,0,4,20
MIDMcNeilEVE,£5.5m,11,544,9,2,5,0,0.51,0,8,0,0.72,0,30.12,72,0,2,20
GKAreolaWHU,£4.2m,10,900,0,0,0,0,0,0,0,0,0.01,0,32.8,83,0,0,20
FWDZirkzeeMUN,£5.8m,12,332,18,7,15,3,2.52,1,6,1,0.13,0,27.58,66,3,0,20
MIDSanchoAVL,£5.8m,13,453,6,2,5,1,0.39,0,16,2,1.69,1,32.93,82,0,0,20
DEFTodiboWHU,£4.3m,13,991,0,0,0,0,0,0,3,0,0.12,0,37.65,79,0,6,20
DEFJ.CuencaFUL,£4.3m,9,495,1,0,1,0,0.05,0,1,0,0.06,0,32.75,81,0,8,20
MIDGuessandCRY,£6.2m,11,441,7,3,7,1,0.66,1,2,0,0.74,0,27.69,77,0,0,20
DEFAcheampongCHE,£3.7m,11,481,1,0,1,0,0.09,0,1,0,0.09,0,32.73,57,3,0,19
MIDDouglas LuizAVL,£4.9m,10,460,7,3,3,0,0.33,1,12,2,1.07,0,27.37,120,0,0,19
MIDBobbFUL,£5.1m,11,420,6,2,6,0,0.94,0,11,2,1.04,1,32.87,78,0,0,19
DEFHeavenMUN,£3.7m,9,510,1,0,1,0,0.04,0,2,1,0.14,1,32.94,80,0,4,19
DEFUdogieTOT,£4.3m,10,609,4,1,4,0,0.19,0,5,1,0.34,1,34.13,84,1,0,19
DEFBogardeAVL,£4.0m,14,556,0,0,0,0,0,0,2,0,0.09,0,55.49,65,1,0,19
MIDBarkleyAVL,£4.8m,11,403,10,3,3,1,0.53,1,5,3,1.02,0,27.05,84,0,0,19
GKMamardashviliLIV,£4.1m,4,360,0,0,0,0,0,0,0,0,0.01,0,17.06,83,2,0,19
DEFDe LigtMUN,£4.9m,6,540,7,2,7,0,0.71,0,3,2,0.74,0,32.45,96,2,2,18
DEFLewis-SkellyARS,£5.0m,13,447,2,0,2,0,0.11,0,4,0,0.15,0,56.48,73,0,0,18
DEFBranthwaiteEVE,£5.3m,6,405,3,1,3,0,0.22,0,3,1,0.1,1,27.1,74,0,2,18
FWDIsakLIV,£10.3m,8,380,7,2,6,2,1.08,1,1,0,0.06,0,18.78,57,2,0,18
MIDDominguezNFO,£5.0m,13,547,6,1,2,0,0.44,0,6,2,0.46,1,26.43,95,0,0,18
FWDAbrahamAVL,£5.7m,7,211,7,3,6,3,1.66,2,1,0,0.08,0,17.58,77,2,0,18
MIDTraoréSUN,£5.5m,5,337,7,2,4,0,0.17,1,4,0,0.11,0,14.74,58,1,0,18
DEFBoscagliBHA,£4.2m,7,413,1,0,1,0,0.04,0,1,0,0.31,0,29.13,89,2,2,18
MIDBruun LarsenBUR,£5.2m,13,476,10,3,6,2,0.97,0,7,1,0.49,0,31.87,57,0,0,18
DEFGomezLIV,£4.9m,10,322,2,1,2,0,0.1,0,4,2,0.22,1,38.99,70,0,0,17
FWDArmstrongWOL,£5.1m,7,580,8,3,6,2,1.04,0,3,3,0.54,2,19.62,60,0,0,17
FWDMunizFUL,£5.3m,11,578,23,3,20,6,2.58,0,4,1,0.05,1,30.18,35,0,0,17
DEFSavonaNFO,£4.5m,6,466,4,2,4,1,0.9,1,5,1,0.32,0,25.82,63,0,0,17
